xline_all_values,yline_all_values,X_all_values,obj1,obj2,obj3,inc
256.05149241439113,9.671671966140106e-06,"[0.1, np.float64(8.04928961461525), np.float64(7.139417576673264), np.float64(7.453971010204506), np.float64(6.446641817444822), 1, np.float64(0.9958852722889168)]",256.05149241439113,9.671671966140106e-06,3214189.2025222974,0
264.83269671471277,9.550495043562395e-06,"[0.1, np.float64(5.996250308806967), np.float64(1.1128753460979528), 10, 0.1, np.float64(0.9339673253998129), 1]",264.83269671471277,9.550495043562395e-06,2576434.6170179825,0
245.52734905519023,1.0031406391680435e-05,"[np.float64(3.002401998402795), 0.1, 10, np.float64(1.4308571754874893), 10, 0, 0]",245.52734905519023,1.0031406391680435e-05,28193651.80892403,0
263.2227906978122,9.55703600801153e-06,"[np.float64(0.5569052981886209), np.float64(4.67430292381872), np.float64(1.938317175160817), 10, np.float64(1.3095324762436924), np.float64(0.6136021498918128), np.float64(0.8184138888997761)]",263.2227906978122,9.55703600801153e-06,2809644.455433908,0
246.80627285075613,9.981434956953757e-06,"[np.float64(1.8619136873928825), np.float64(0.1831533771794982), np.float64(9.357487989397661), np.float64(2.718959241957144), np.float64(9.461016889625997), np.float64(0.04236277556085366), np.float64(0.0382412878662457)]",246.80627285075613,9.981434956953757e-06,22850682.260981765,0
257.19262428524934,9.65609028819468e-06,"[np.float64(1.1684610323468254), np.float64(4.218465003733529), np.float64(3.9756815866097828), np.float64(7.572271385535839), np.float64(3.522681533842344), np.float64(0.5984107072990907), np.float64(0.6400169628668972)]",257.19262428524934,9.65609028819468e-06,3532610.4436443117,0
245.85404353154783,1.001633059706607e-05,"[np.float64(2.109336469930811), 0.1, 10, np.float64(1.802621697500807), 10, 0, 0]",245.85404353154783,1.001633059706607e-05,26995388.937016636,0
247.69409015146206,9.942168817242785e-06,"[np.float64(1.995695103280593), np.float64(0.684518212868053), np.float64(9.438022328805397), np.float64(3.2594452993795473), np.float64(8.703078374925724), np.float64(0.11859886281470594), np.float64(0.11929740619262864)]",247.69409015146206,9.942168817242785e-06,11795006.001125537,0
255.51208076510397,9.696088754114323e-06,"[np.float64(1.1012547571122084), np.float64(2.59455999040667), np.float64(5.208833777833961), np.float64(6.829566215077071), np.float64(4.865273628398855), np.float64(0.2933646897172901), np.float64(0.44571419088698)]",255.51208076510397,9.696088754114323e-06,3972011.468430304,0
249.19488420618376,9.88411402870026e-06,"[np.float64(6.906421785323113), np.float64(1.3681238220624565), np.float64(9.094042500696428), np.float64(4.700845149211975), np.float64(5.646478983448402), np.float64(0.05731536402349887), np.float64(0.19090400271130042)]",249.19488420618376,9.88411402870026e-06,8712572.818171548,0
