xline_all_values,yline_all_values,X_all_values,obj1,obj2,obj3,inc
245.13943534562577,1.0043973726388027e-05,"[np.float64(2.5550510411283196), np.float64(0.5983907169604311), 10, 0.1, np.float64(5.178427662158999), np.float64(0.438937050130373), np.float64(0.3987862691236558)]",245.13943534562577,1.0043973726388027e-05,22101896.34123388,0
247.35391965849067,9.94196071274874e-06,"[np.float64(2.974633472498784), np.float64(1.9358740843756657), np.float64(9.213430929131858), np.float64(0.854086217621755), np.float64(4.298680891659189), np.float64(0.37762831428217114), np.float64(0.3670945391554242)]",247.35391965849067,9.94196071274874e-06,7742098.367841658,0
248.17225301647997,9.918634309166118e-06,"[np.float64(2.9992925541257374), np.float64(2.0339105921464835), np.float64(9.28791282480549), np.float64(1.1727525326840418), np.float64(3.9238038242423134), np.float64(0.38180194183099125), np.float64(0.3069826719567212)]",248.17225301647997,9.918634309166118e-06,6108202.009520869,0
246.14042316897965,1.0020079327852839e-05,"[np.float64(2.657858140285626), np.float64(0.9288181428185361), 10, 0.1, np.float64(4.5055014733862), np.float64(0.4331306495554815), np.float64(0.3390315287486978)]",246.14042316897965,1.0020079327852839e-05,18620199.59305398,0
249.67917853237438,9.85672472901953e-06,"[np.float64(3.2582912123915726), np.float64(2.823745511798303), np.float64(8.361495274281056), np.float64(2.2372820339953132), np.float64(3.69662075531782), np.float64(0.33514520623864463), np.float64(0.364952428114375)]",249.67917853237438,9.85672472901953e-06,4882967.335007311,0
247.14946285623392,9.973899253534701e-06,"[np.float64(2.9956313745031546), np.float64(2.328858966619218), np.float64(9.624233961698561), 0.1, np.float64(3.264432532727242), np.float64(0.35351058654658907), np.float64(0.35936311045884445)]",247.14946285623392,9.973899253534701e-06,21379394.52857063,0
250.44872231100544,9.83960642908876e-06,"[np.float64(3.2138172112805017), np.float64(2.7160251816845236), np.float64(9.281663466083963), np.float64(2.937683301376522), np.float64(2.3909634074668995), np.float64(0.3602077531218188), np.float64(0.3271349999831363)]",250.44872231100544,9.83960642908876e-06,3890102.999288147,0
263.02620622729506,9.56035992922912e-06,"[1.9182568330617211, 0.7197447290816493, 3.6483257020824613, 9.086356317535763, 1.8092349290153156, 0.25869557457753223, 0.727264002023511]",263.02620622729506,9.56035992922912e-06,3295122.8002209975,0
246.7527728373718,9.997144933954706e-06,"[np.float64(2.989635136400248), np.float64(1.9360363303929065), np.float64(9.689153195811802), 0.1, np.float64(3.4066703433180994), np.float64(0.43006870725699364), np.float64(0.46474156960115626)]",246.7527728373718,9.997144933954706e-06,22926483.688146323,0
252.44643721260996,9.768589326923123e-06,"[np.float64(3.810805367195135), np.float64(4.6670381829200895), np.float64(7.531140932834207), np.float64(3.4281151608723017), np.float64(2.303514641113246), np.float64(0.2712835596630724), np.float64(0.2614788568308473)]",252.44643721260996,9.768589326923123e-06,3712008.0045096837,0
